date,location,city,state,lat,lng,candidate,year,candidate_party
2020-10-01,"Erie, Pennsylvania",Erie,Pennsylvania,42.1294712,-80.0852695,Biden,2020,Democrat
2020-10-12,"Cincinnati, Ohio",Cincinnati,Ohio,39.1014537,-84.5124602,Biden,2020,Democrat
2020-10-12,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173,Biden,2020,Democrat
2020-10-13,"Miramar, Florida",Miramar,Florida,25.9873137,-80.2322706,Biden,2020,Democrat
2020-10-13,"Pembroke Pines, Florida",Pembroke Pines,Florida,26.0061943,-80.2872086,Biden,2020,Democrat
2020-10-15,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Biden,2020,Democrat
2020-10-16,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007,Biden,2020,Democrat
2020-10-16,"Southfield, Michigan",Southfield,Michigan,42.4733689,-83.2218731,Biden,2020,Democrat
2020-10-18,"Durham, North Carolina",Durham,North Carolina,35.996653,-78.9018053,Biden,2020,Democrat
2020-10-24,"Bristol, Pennsylvania",Bristol,Pennsylvania,40.1229002,-74.86447057681232,Biden,2020,Democrat
2020-10-24,"Dallas, Pennsylvania",Dallas,Pennsylvania,41.33617,-75.9632636,Biden,2020,Democrat
2020-10-26,"Chester, Pennsylvania",Chester,Pennsylvania,39.9829308,-75.7652424,Biden,2020,Democrat
2020-10-27,"Atlanta, Georgia",Atlanta,Georgia,33.7489924,-84.3902644,Biden,2020,Democrat
2020-10-27,"Warm Springs, Georgia",Warm Springs,Georgia,32.8904081,-84.6810381,Biden,2020,Democrat
2020-10-29,"Coconut Creek, Florida",Coconut Creek,Florida,26.2714628,-80.18181396580121,Biden,2020,Democrat
2020-10-29,"Fort Lauderdale, Florida",Fort Lauderdale,Florida,26.1223084,-80.1433786,Biden,2020,Democrat
2020-10-29,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444,Biden,2020,Democrat
2020-10-03,"Des Moines, Iowa",Des Moines,Iowa,41.5868654,-93.6249494,Biden,2020,Democrat
2020-10-03,"St. Paul, Minnesota",St. Paul,Minnesota,44.9497487,-93.0931028,Biden,2020,Democrat
2020-10-03,"Milwaukee, Wisconsin",Milwaukee,Wisconsin,43.0386475,-87.9090751,Biden,2020,Democrat
2020-10-31,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007,Biden,2020,Democrat
2020-10-31,"Flint, Michigan",Flint,Michigan,43.0161693,-83.6900211,Biden,2020,Democrat
2020-11-01,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Biden,2020,Democrat
2020-11-02,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772,Biden,2020,Democrat
2020-11-02,"Monaca, Pennsylvania",Monaca,Pennsylvania,40.6872885,-80.2714505,Biden,2020,Democrat
2020-11-02,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,40.4416941,-79.9900861,Biden,2020,Democrat
2020-11-03,"Scranton, Pennsylvania",Scranton,Pennsylvania,41.4086874,-75.6621294,Biden,2020,Democrat
2016-09-05,"Hampton, Illinois",Hampton,Illinois,41.5561473,-90.4096858,Clinton,2016,Democrat
2016-09-05,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772,Clinton,2016,Democrat
2016-09-06,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444,Clinton,2016,Democrat
2016-09-08,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827,Clinton,2016,Democrat
2016-09-15,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754,Clinton,2016,Democrat
2016-09-19,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Clinton,2016,Democrat
2016-09-21,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304,Clinton,2016,Democrat
2016-09-27,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989,Clinton,2016,Democrat
2016-09-28,"Durham, New Hampshire",Durham,New Hampshire,43.134564,-70.927048,Clinton,2016,Democrat
2016-09-29,"Des Moines, Iowa",Des Moines,Iowa,41.5868654,-93.6249494,Clinton,2016,Democrat
2016-09-03,"Coral Springs, Florida",Coral Springs,Florida,26.271192,-80.2706044,Clinton,2016,Democrat
2016-09-03,"Fort Pierce, Florida",Fort Pierce,Florida,27.4467056,-80.3256056,Clinton,2016,Democrat
2016-10-02,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827,Clinton,2016,Democrat
2016-10-03,"Akron, Ohio",Akron,Ohio,41.083064,-81.518485,Clinton,2016,Democrat
2016-10-03,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173,Clinton,2016,Democrat
2016-10-04,"Harrisburg, Pennsylvania",Harrisburg,Pennsylvania,40.2663107,-76.8861122,Clinton,2016,Democrat
2016-10-04,"Haverford, Pennsylvania",Haverford,Pennsylvania,40.0131672,-75.2943516,Clinton,2016,Democrat
2016-10-01,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007,Clinton,2016,Democrat
2016-10-01,"Columbus, Ohio",Columbus,Ohio,39.9622601,-83.0007065,Clinton,2016,Democrat
2016-10-11,"Miami, Florida",Miami,Florida,25.7741728,-80.19362,Clinton,2016,Democrat
2016-10-12,"Pueblo, Colorado",Pueblo,Colorado,38.263995,-104.6141867,Clinton,2016,Democrat
2016-10-12,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516,Clinton,2016,Democrat
2016-10-21,"Highland Hills, Ohio",Highland Hills,Ohio,41.448387,-81.51901,Clinton,2016,Democrat
2016-10-22,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Clinton,2016,Democrat
2016-10-22,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,40.4416941,-79.9900861,Clinton,2016,Democrat
2016-10-23,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827,Clinton,2016,Democrat
2016-10-23,"Durham, North Carolina",Durham,North Carolina,35.996653,-78.9018053,Clinton,2016,Democrat
2016-10-23,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989,Clinton,2016,Democrat
2016-10-24,"Manchester, New Hampshire",Manchester,New Hampshire,42.9956397,-71.4547891,Clinton,2016,Democrat
2016-10-25,"Coconut Creek, Florida",Coconut Creek,Florida,26.2714628,-80.18181396580121,Clinton,2016,Democrat
2016-10-26,"Lake Worth, Florida",Lake Worth,Florida,26.615891,-80.0691435,Clinton,2016,Democrat
2016-10-26,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444,Clinton,2016,Democrat
2016-10-27,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754,Clinton,2016,Democrat
2016-10-27,"Winston-Salem, North Carolina",Winston-Salem,North Carolina,36.0998131,-80.2440518,Clinton,2016,Democrat
2016-10-28,"Cedar Rapids, Iowa",Cedar Rapids,Iowa,41.9758872,-91.6704053,Clinton,2016,Democrat
2016-10-28,"Des Moines, Iowa",Des Moines,Iowa,41.5868654,-93.6249494,Clinton,2016,Democrat
2016-10-29,"Daytona Beach, Florida",Daytona Beach,Florida,29.2108147,-81.0228331,Clinton,2016,Democrat
2016-10-29,"Miami, Florida",Miami,Florida,25.7741728,-80.19362,Clinton,2016,Democrat
2016-10-03,"Fort Lauderdale, Florida",Fort Lauderdale,Florida,26.1223084,-80.1433786,Clinton,2016,Democrat
2016-10-03,"Wilton Manors, Florida",Wilton Manors,Florida,26.1603626,-80.138934,Clinton,2016,Democrat
2016-10-31,"Cincinnati, Ohio",Cincinnati,Ohio,39.1014537,-84.5124602,Clinton,2016,Democrat
2016-10-31,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772,Clinton,2016,Democrat
2016-10-31,"Kent, Ohio",Kent,Ohio,41.1513108,-81.3578047,Clinton,2016,Democrat
2016-11-01,"Dade City, Florida",Dade City,Florida,28.3647248,-82.1959178,Clinton,2016,Democrat
2016-11-01,"Fort Lauderdale, Florida",Fort Lauderdale,Florida,26.1223084,-80.1433786,Clinton,2016,Democrat
2016-11-01,"Sanford, Florida",Sanford,Florida,28.8117345,-81.2680223,Clinton,2016,Democrat
2016-11-02,"Tempe, Arizona",Tempe,Arizona,33.4255117,-111.940016,Clinton,2016,Democrat
2016-11-02,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516,Clinton,2016,Democrat
2016-11-02,"North Las Vegas, Nevada",North Las Vegas,Nevada,36.2005843,-115.121584,Clinton,2016,Democrat
2016-11-03,"Durham, North Carolina",Durham,North Carolina,35.996653,-78.9018053,Clinton,2016,Democrat
2016-11-03,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989,Clinton,2016,Democrat
2016-11-03,"Winterville, North Carolina",Winterville,North Carolina,35.5290511,-77.4010762,Clinton,2016,Democrat
2016-11-04,"Dearborn, Michigan",Dearborn,Michigan,42.3222599,-83.1763145,Clinton,2016,Democrat
2016-11-04,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007,Clinton,2016,Democrat
2016-11-04,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772,Clinton,2016,Democrat
2016-11-04,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,40.4416941,-79.9900861,Clinton,2016,Democrat
2016-11-05,"Miami, Florida",Miami,Florida,25.7741728,-80.19362,Clinton,2016,Democrat
2016-11-05,"Pembroke Pines, Florida",Pembroke Pines,Florida,26.0061943,-80.2872086,Clinton,2016,Democrat
2016-11-05,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Clinton,2016,Democrat
2016-11-06,"Manchester, New Hampshire",Manchester,New Hampshire,42.9956397,-71.4547891,Clinton,2016,Democrat
2016-11-06,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772,Clinton,2016,Democrat
2016-11-06,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Clinton,2016,Democrat
2016-11-07,"Allendale Charter Township, Michigan",Allendale Charter Township,Michigan,42.982786,-85.94981414122381,Clinton,2016,Democrat
2016-11-07,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989,Clinton,2016,Democrat
2016-11-07,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Clinton,2016,Democrat
2016-11-07,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,40.4416941,-79.9900861,Clinton,2016,Democrat
2016-09-01,"Wilmington, Ohio",Wilmington,Ohio,39.4453393,-83.8285375,Trump,2016,Republican
2016-09-03,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007,Trump,2016,Republican
2016-09-05,"Brook Park, Ohio",Brook Park,Ohio,41.3983838,-81.8045788,Trump,2016,Republican
2016-09-05,"Canfield, Ohio",Canfield,Ohio,41.025059,-80.760912,Trump,2016,Republican
2016-09-06,"Greenville, North Carolina",Greenville,North Carolina,35.613224,-77.3724593,Trump,2016,Republican
2016-09-06,"Virginia Beach, Virginia",Virginia Beach,Virginia,36.8496579,-75.9760751,Trump,2016,Republican
2016-09-07,"New York City, New York",New York City,New York,40.7127281,-74.0060152,Trump,2016,Republican
2016-09-07,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262,Trump,2016,Republican
2016-09-08,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772,Trump,2016,Republican
2016-09-09,"Pensacola, Florida",Pensacola,Florida,30.421309,-87.2169149,Trump,2016,Republican
2016-09-12,"Asheville, North Carolina",Asheville,North Carolina,35.595363,-82.5508407,Trump,2016,Republican
2016-09-13,"Clive, Iowa",Clive,Iowa,41.6096559,-93.7754644,Trump,2016,Republican
2016-09-13,"Aston, Pennsylvania",Aston,Pennsylvania,39.87265415,-75.44054729049847,Trump,2016,Republican
2016-09-14,"Canton, Ohio",Canton,Ohio,40.7985464,-81.3749508,Trump,2016,Republican
2016-09-15,"Laconia, New Hampshire",Laconia,New Hampshire,43.5278546,-71.470351,Trump,2016,Republican
2016-09-15,"New York City, New York",New York City,New York,40.7127281,-74.0060152,Trump,2016,Republican
2016-09-16,"Washington, DC, District of Columbia","Washington, DC",District of Columbia,38.8950368,-77.0365427,Trump,2016,Republican
2016-09-16,"Miami, Florida",Miami,Florida,25.7741728,-80.19362,Trump,2016,Republican
2016-09-17,"Colorado Springs, Colorado",Colorado Springs,Colorado,38.8339578,-104.825348,Trump,2016,Republican
2016-09-19,"Estero, Florida",Estero,Florida,26.4381474,-81.8067537,Trump,2016,Republican
2016-09-02,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754,Trump,2016,Republican
2016-09-02,"High Point, North Carolina",High Point,North Carolina,35.9556924,-80.0053176,Trump,2016,Republican
2016-09-02,"Kenansville, North Carolina",Kenansville,North Carolina,34.9623883,-77.9622069,Trump,2016,Republican
2016-09-21,"Cleveland Heights, Ohio",Cleveland Heights,Ohio,41.5200518,-81.556235,Trump,2016,Republican
2016-09-21,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173,Trump,2016,Republican
2016-09-22,"Aston, Pennsylvania",Aston,Pennsylvania,39.87265415,-75.44054729049847,Trump,2016,Republican
2016-09-24,"Roanoke, Virginia",Roanoke,Virginia,37.270973,-79.9414313,Trump,2016,Republican
2016-09-27,"Melbourne, Florida",Melbourne,Florida,28.0785034,-80.6077908,Trump,2016,Republican
2016-09-28,"Chicago, Illinois",Chicago,Illinois,41.8755616,-87.6244212,Trump,2016,Republican
2016-09-28,"Council Bluffs, Iowa",Council Bluffs,Iowa,41.258841,-95.8519484,Trump,2016,Republican
2016-09-28,"Waukesha, Wisconsin",Waukesha,Wisconsin,43.0622536,-88.3123889,Trump,2016,Republican
2016-09-29,"Bedford, New Hampshire",Bedford,New Hampshire,42.9464737,-71.5159015,Trump,2016,Republican
2016-09-03,"Novi, Michigan",Novi,Michigan,42.48059,-83.4754913,Trump,2016,Republican
2016-10-01,"Manheim, Pennsylvania",Manheim,Pennsylvania,40.1637359,-76.3952429,Trump,2016,Republican
2016-10-03,"Loveland, Colorado",Loveland,Colorado,40.385549,-105.04436132094956,Trump,2016,Republican
2016-10-03,"Pueblo, Colorado",Pueblo,Colorado,38.263995,-104.6141867,Trump,2016,Republican
2016-10-03,"Herndon, Virginia",Herndon,Virginia,38.9695316,-77.3859479,Trump,2016,Republican
2016-10-04,"Prescott Valley, Arizona",Prescott Valley,Arizona,34.5950776,-112.3338634,Trump,2016,Republican
2016-10-05,"Henderson, Nevada",Henderson,Nevada,36.0301134,-114.9826194,Trump,2016,Republican
2016-10-06,"Sandown, New Hampshire",Sandown,New Hampshire,42.928698,-71.1870053,Trump,2016,Republican
2016-10-01,"Ambridge, Pennsylvania",Ambridge,Pennsylvania,40.586438,-80.2273615,Trump,2016,Republican
2016-10-01,"Wilkes-Barre, Pennsylvania",Wilkes-Barre,Pennsylvania,41.2464824,-75.8817316,Trump,2016,Republican
2016-10-11,"Panama City, Florida",Panama City,Florida,30.1586518,-85.6602936,Trump,2016,Republican
2016-10-12,"Lakeland, Florida",Lakeland,Florida,28.0394654,-81.9498042,Trump,2016,Republican
2016-10-12,"Ocala, Florida",Ocala,Florida,29.1871986,-82.1400923,Trump,2016,Republican
2016-10-13,"West Palm Beach, Florida",West Palm Beach,Florida,26.715364,-80.0532942,Trump,2016,Republican
2016-10-13,"Cincinnati, Ohio",Cincinnati,Ohio,39.1014537,-84.5124602,Trump,2016,Republican
2016-10-13,"Columbus, Ohio",Columbus,Ohio,39.9622601,-83.0007065,Trump,2016,Republican
2016-10-14,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827,Trump,2016,Republican
2016-10-14,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754,Trump,2016,Republican
2016-10-15,"Bangor, Maine",Bangor,Maine,44.8016255,-68.7713289,Trump,2016,Republican
2016-10-15,"Portsmouth, New Hampshire",Portsmouth,New Hampshire,43.0764436,-70.7573936,Trump,2016,Republican
2016-10-17,"Green Bay, Wisconsin",Green Bay,Wisconsin,44.5126379,-88.0125794,Trump,2016,Republican
2016-10-18,"Colorado Springs, Colorado",Colorado Springs,Colorado,38.8339578,-104.825348,Trump,2016,Republican
2016-10-18,"Grand Junction, Colorado",Grand Junction,Colorado,39.0672568,-108.56448,Trump,2016,Republican
2016-10-02,"Delaware, Ohio",Delaware,Ohio,40.2317686,-82.9651045,Trump,2016,Republican
2016-10-21,"Fletcher, North Carolina",Fletcher,North Carolina,35.4309336,-82.5011239,Trump,2016,Republican
