date,location,city,state,lat,lng
2016-09-01,"Wilmington, Ohio",Wilmington,Ohio,39.4453393,-83.8285375
2016-09-03,"Detroit, Michigan",Detroit,Michigan,42.3315509,-83.046640300000007
2016-09-05,"Brook Park, Ohio",Brook Park,Ohio,41.3983838,-81.8045788
2016-09-05,"Canfield, Ohio",Canfield,Ohio,41.025059,-80.760912
2016-09-06,"Greenville, North Carolina",Greenville,North Carolina,35.613224,-77.3724593
2016-09-06,"Virginia Beach, Virginia",Virginia Beach,Virginia,36.8496579,-75.9760751
2016-09-07,"New York City, New York",New York City,New York,40.7127281,-74.0060152
2016-09-07,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,39.9527237,-75.1635262
2016-09-08,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772
2016-09-09,"Pensacola, Florida",Pensacola,Florida,30.421309,-87.2169149
2016-09-12,"Asheville, North Carolina",Asheville,North Carolina,35.595363,-82.5508407
2016-09-13,"Clive, Iowa",Clive,Iowa,41.6096559,-93.7754644
2016-09-13,"Aston, Pennsylvania",Aston,Pennsylvania,39.87265415,-75.44054729049847
2016-09-14,"Canton, Ohio",Canton,Ohio,40.7985464,-81.3749508
2016-09-15,"Laconia, New Hampshire",Laconia,New Hampshire,43.5278546,-71.470351
2016-09-15,"New York City, New York",New York City,New York,40.7127281,-74.0060152
2016-09-16,"Washington, DC, District of Columbia","Washington, DC",District of Columbia,38.8950368,-77.0365427
2016-09-16,"Miami, Florida",Miami,Florida,25.7741728,-80.19362
2016-09-17,"Colorado Springs, Colorado",Colorado Springs,Colorado,38.8339578,-104.825348
2016-09-19,"Estero, Florida",Estero,Florida,26.4381474,-81.8067537
2016-09-02,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754
2016-09-02,"High Point, North Carolina",High Point,North Carolina,35.9556924,-80.0053176
2016-09-02,"Kenansville, North Carolina",Kenansville,North Carolina,34.9623883,-77.9622069
2016-09-21,"Cleveland Heights, Ohio",Cleveland Heights,Ohio,41.5200518,-81.556235
2016-09-21,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173
2016-09-22,"Aston, Pennsylvania",Aston,Pennsylvania,39.87265415,-75.44054729049847
2016-09-24,"Roanoke, Virginia",Roanoke,Virginia,37.270973,-79.9414313
2016-09-27,"Melbourne, Florida",Melbourne,Florida,28.0785034,-80.6077908
2016-09-28,"Chicago, Illinois",Chicago,Illinois,41.8755616,-87.6244212
2016-09-28,"Council Bluffs, Iowa",Council Bluffs,Iowa,41.258841,-95.8519484
2016-09-28,"Waukesha, Wisconsin",Waukesha,Wisconsin,43.0622536,-88.3123889
2016-09-29,"Bedford, New Hampshire",Bedford,New Hampshire,42.9464737,-71.5159015
2016-09-03,"Novi, Michigan",Novi,Michigan,42.48059,-83.4754913
2016-10-01,"Manheim, Pennsylvania",Manheim,Pennsylvania,40.1637359,-76.3952429
2016-10-03,"Loveland, Colorado",Loveland,Colorado,40.385549,-105.04436132094955
2016-10-03,"Pueblo, Colorado",Pueblo,Colorado,38.263995,-104.6141867
2016-10-03,"Herndon, Virginia",Herndon,Virginia,38.9695316,-77.3859479
2016-10-04,"Prescott Valley, Arizona",Prescott Valley,Arizona,34.5950776,-112.3338634
2016-10-05,"Henderson, Nevada",Henderson,Nevada,36.0301134,-114.9826194
2016-10-06,"Sandown, New Hampshire",Sandown,New Hampshire,42.928698,-71.1870053
2016-10-01,"Ambridge, Pennsylvania",Ambridge,Pennsylvania,40.586438,-80.2273615
2016-10-01,"Wilkes-Barre, Pennsylvania",Wilkes-Barre,Pennsylvania,41.2464824,-75.8817316
2016-10-11,"Panama City, Florida",Panama City,Florida,30.1586518,-85.6602936
2016-10-12,"Lakeland, Florida",Lakeland,Florida,28.0394654,-81.9498042
2016-10-12,"Ocala, Florida",Ocala,Florida,29.1871986,-82.1400923
2016-10-13,"West Palm Beach, Florida",West Palm Beach,Florida,26.715364,-80.0532942
2016-10-13,"Cincinnati, Ohio",Cincinnati,Ohio,39.1014537,-84.5124602
2016-10-13,"Columbus, Ohio",Columbus,Ohio,39.9622601,-83.0007065
2016-10-14,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827
2016-10-14,"Greensboro, North Carolina",Greensboro,North Carolina,36.0726355,-79.7919754
2016-10-15,"Bangor, Maine",Bangor,Maine,44.8016255,-68.7713289
2016-10-15,"Portsmouth, New Hampshire",Portsmouth,New Hampshire,43.0764436,-70.7573936
2016-10-17,"Green Bay, Wisconsin",Green Bay,Wisconsin,44.5126379,-88.0125794
2016-10-18,"Colorado Springs, Colorado",Colorado Springs,Colorado,38.8339578,-104.825348
2016-10-18,"Grand Junction, Colorado",Grand Junction,Colorado,39.0672568,-108.56448
2016-10-02,"Delaware, Ohio",Delaware,Ohio,40.2317686,-82.9651045
2016-10-21,"Fletcher, North Carolina",Fletcher,North Carolina,35.4309336,-82.5011239
2016-10-21,"Johnstown, Pennsylvania",Johnstown,Pennsylvania,40.3267407,-78.9219698
2016-10-21,"Newtown, Pennsylvania",Newtown,Pennsylvania,40.6505909,-76.3479872
2016-10-22,"Gettysburg, Pennsylvania",Gettysburg,Pennsylvania,39.8308973,-77.231012
2016-10-22,"Virginia Beach, Virginia",Virginia Beach,Virginia,36.8496579,-75.9760751
2016-10-23,"Naples, Florida",Naples,Florida,26.1421976,-81.7942944
2016-10-23,"Cleveland, Ohio",Cleveland,Ohio,41.4996574,-81.6936772
2016-10-24,"Boynton Beach, Florida",Boynton Beach,Florida,26.5256179,-80.0666026
2016-10-24,"St. Augustine, Florida",St. Augustine,Florida,29.8946952,-81.3145395
2016-10-24,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444
2016-10-25,"Sanford, Florida",Sanford,Florida,28.8117345,-81.2680223
2016-10-25,"Tallahasee, Florida",Tallahasee,Florida,NA,NA
2016-10-26,"Washington, DC, District of Columbia","Washington, DC",District of Columbia,38.8950368,-77.0365427
2016-10-26,"Charlotte, North Carolina",Charlotte,North Carolina,35.2272086,-80.8430827
2016-10-26,"Kinston, North Carolina",Kinston,North Carolina,35.2626635,-77.5816353
2016-10-27,"Geneva, Ohio",Geneva,Ohio,41.8052539,-80.9476206
2016-10-27,"Springfield, Ohio",Springfield,Ohio,39.9234046,-83.810138
2016-10-27,"Toledo, Ohio",Toledo,Ohio,41.6529143,-83.5378173
2016-10-28,"Cedar Rapids, Iowa",Cedar Rapids,Iowa,41.9758872,-91.6704053
2016-10-28,"Lisbon, Maine",Lisbon,Maine,43.9966919,-70.0606087
2016-10-28,"Manchester, New Hampshire",Manchester,New Hampshire,42.9956397,-71.4547891
2016-10-29,"Phoenix, Arizona",Phoenix,Arizona,33.4484367,-112.074141
2016-10-29,"Golden, Colorado",Golden,Colorado,39.7546349,-105.22058
2016-10-03,"Greeley, Colorado",Greeley,Colorado,40.4233142,-104.7091322
2016-10-03,"Las Vegas, Nevada",Las Vegas,Nevada,36.1672559,-115.148516
2016-10-03,"Albuquerque, New Mexico",Albuquerque,New Mexico,35.0841034,-106.650985
2016-10-31,"Grand Rapids, Michigan",Grand Rapids,Michigan,42.9632425,-85.6678639
2016-10-31,"Warren, Michigan",Warren,Michigan,42.4932575,-83.0062746
2016-11-01,"King of Prussia, Pennsylvania",King of Prussia,Pennsylvania,40.0908111,-75.3832484
2016-11-01,"Eau Claire, Wisconsin",Eau Claire,Wisconsin,44.811349,-91.4984941
2016-11-02,"Miami, Florida",Miami,Florida,25.7741728,-80.19362
2016-11-02,"Orlando, Florida",Orlando,Florida,28.5421109,-81.3790304
2016-11-02,"Pensacola, Florida",Pensacola,Florida,30.421309,-87.2169149
2016-11-03,"Jacksonville, Florida",Jacksonville,Florida,30.3321838,-81.655651
2016-11-03,"Concord, North Carolina",Concord,North Carolina,35.4094178,-80.5800049
2016-11-03,"Selma, North Carolina",Selma,North Carolina,35.5365485,-78.2844435
2016-11-04,"Atkinson, New Hampshire",Atkinson,New Hampshire,42.8384221,-71.1470037
2016-11-04,"Wilmington, Ohio",Wilmington,Ohio,39.4453393,-83.8285375
2016-11-04,"Hershey, Pennsylvania",Hershey,Pennsylvania,40.2854881,-76.6506001
2016-11-05,"Denver, Colorado",Denver,Colorado,39.7392364,-104.984862
2016-11-05,"Tampa, Florida",Tampa,Florida,27.9477595,-82.458444
2016-11-05,"Reno, Nevada",Reno,Nevada,39.5261206,-119.8126581
2016-11-05,"Wilmington, North Carolina",Wilmington,North Carolina,34.2257282,-77.9447107
2016-11-06,"Sioux City, Iowa",Sioux City,Iowa,42.4966815,-96.4058782
2016-11-06,"Sterling Heights, Michigan",Sterling Heights,Michigan,42.5803122,-83.0302033
2016-11-06,"Minneapolis, Minnesota",Minneapolis,Minnesota,44.9772995,-93.2654692
2016-11-06,"Moon Township, Pennsylvania",Moon Township,Pennsylvania,40.506100000000004,-80.2082
2016-11-06,"Leesburg, Virginia",Leesburg,Virginia,39.1154506,-77.5645607
2016-11-07,"Sarasota, Florida",Sarasota,Florida,27.3365805,-82.5308545
2016-11-07,"Grand Rapids, Michigan",Grand Rapids,Michigan,42.9632425,-85.6678639
2016-11-07,"Manchester, New Hampshire",Manchester,New Hampshire,42.9956397,-71.4547891
2016-11-07,"Raleigh, North Carolina",Raleigh,North Carolina,35.7803977,-78.6390989
2016-11-07,"Scranton, Pennsylvania",Scranton,Pennsylvania,41.4086874,-75.6621294
